residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
SLS Brickell Residences,https://miamicondoinvestments.com/sls-brickell-residences?,"1300 S Miami Ave, Miami, FL 33130, USA",850000,750,500000,1500000,1134,450,2018,completed,medium,yes,yes,92,Miami,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Pet-Friendly Facilities, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,SLS,Elevate your lifestyle with breathtaking skyline views from luxurious rooftop pools.,"SLS Brickell Residences boast breathtaking panoramic views of Biscayne Bay, complemented by unparalleled access to vibrant nightlife and dining experiences."
SLS Dubai Hotel & Residences,https://all.accor.com/hotel/B5B0/index.en.shtml,"2 Al A'amal Street, Business Bay, Dubai, UAE",1200000,900,600000,2500000,1335,254,2021,completed,high,yes,yes,90,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,SLS,"Soar above Dubai with unparalleled skyline views from opulent, sky-high residences.","Offering stunning panoramic views of the Dubai skyline, this residence features luxurious amenities and direct access to vibrant nightlife."
SLS Cancun Residences,https://www.cancunhotelresidence.com/,"Boulevard Kukulcan Km 14.1, Zona Hotelera, 77500 Cancún, Quintana Roo, Mexico",750000,625,400000,1200000,1200,85,2021,completed,high,yes,yes,88,Quintana Roo,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge, Chef’s Kitchen, Infinity Pool","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Event Spaces/Banquet Halls, Kids' Play Area",,Private Beach Access,Spa,On-site Restaurant/Café,,SLS,Indulge in luxurious oceanfront living with breathtaking views and unparalleled amenities.,"Boasting breathtaking ocean views, these residences feature private rooftop terraces and direct access to pristine beaches, ensuring an unparalleled luxury experience."
SLS Puerto Madero,https://slshotels.com/puerto-madero/,"Av. de los Italianos 801, C1104 CABA, Buenos Aires, Argentina",1100000,850,700000,2000000,1292,58,2022,completed,high,yes,yes,90,Buenos Aires,Argentina,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Marina/Yacht Club",,Business Center,Marina/Yacht Club,Rooftop Amenities,,SLS,A striking fusion of avant-garde design and waterfront luxury redefines urban living.,"This striking residence boasts breathtaking waterfront views, luxurious amenities, and direct access to vibrant dining and cultural experiences."
Trump Tower,https://www.721fifth.com/featured-residences,"725 Fifth Avenue, New York, NY 10022, USA",3500000,2500,1500000,10000000,1400,232,1983,completed,high,yes,yes,95,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Business Center, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Business Center,Gym,,Trump,This iconic skyscraper boasts stunning panoramic views of Manhattan's vibrant skyline.,"Offering breathtaking panoramic views of Central Park and the skyline, this iconic residence boasts luxurious amenities and unparalleled exclusivity."
1 Central Park West,https://www.trumpinternationalrealty.com/property-portfolio/trump-international-hotel-and-tower-new-york,"1 Central Park West, New York, NY 10023, USA",4000000,2800,2000000,12000000,1430,166,1997,completed,high,yes,yes,93,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Pet-Friendly Facilities, Cold Storage/Package Rooms",24-Hour Butler Service,On-site Restaurant/Café,Business Center,Event Spaces/Banquet Halls,,Trump,Elevate your lifestyle with breathtaking skyline views and luxurious modern elegance.,"Overlooking Central Park, this residence boasts breathtaking skyline views, luxurious amenities, and direct access to world-class cultural attractions."
Trump Park Avenue,https://www.trump.com/residential-real-estate-portfolio/trump-park-avenue-new-york,"502 Park Avenue, New York, NY 10022, USA",3200000,2300,1200000,8000000,1391,120,1929,completed,high,yes,yes,94,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Wine Cellar / Wine Room","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,Business Center,,Trump,"Amidst the city's vibrancy, indulge in timeless elegance and unparalleled luxury.","This luxurious residence boasts breathtaking skyline views, private terraces, and exceptional amenities that redefine urban living in Manhattan."
Trump World Tower,https://www.trump.com/residential-real-estate-portfolio/trump-world-tower-new-york,"845 United Nations Plaza, New York, NY 10017, USA",4500000,2100,1800000,15000000,2143,376,2001,completed,high,yes,yes,92,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,Spa,,Trump,This luxurious skyscraper boasts stunning panoramic views of the iconic Manhattan skyline.,"Rising above the city, this luxurious residence boasts breathtaking panoramic views of Central Park and the Hudson River, alongside unparalleled amenities."
Trump Parc,https://www.trump.com/residential-real-estate-portfolio/trump-parc-new-york,"106 Central Park South, New York, NY 10019, USA",2800000,2200,1000000,7000000,1273,340,1929,completed,high,yes,yes,93,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,On-site Restaurant/Café,Concierge Services,Gym,,Trump,Elevate your lifestyle with breathtaking Central Park views from luxurious heights.,"This luxurious residence boasts stunning Central Park views, exceptional amenities, and unparalleled access to the vibrant heart of Manhattan."
Trump Park East,https://www.trump.com/residential-real-estate-portfolio/trump-parc-east-new-york,"1001 East 59th Street, New York, NY 10022, USA",1500000,1800,800000,3000000,833,81,1929,completed,medium,yes,yes,95,New York,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges, Cold Storage/Package Rooms",,Concierge Services,Gym,On-site Restaurant/Café,,Trump,Discover luxurious living with breathtaking skyline views and exquisite modern amenities.,"This luxurious residence boasts breathtaking panoramic views of Central Park and offers unparalleled amenities, including a private fitness center and a rooftop terrace."
