residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
JW Marriott Residences,https://news.marriott.com/news/2023/08/31/marriott-international-signs-agreement-to-bring-w-hotels-to-al-marjan-island-in-ras-al-khaimah,"Al Marjan Island, Al Hamra, Ras Al Khaimah, United Arab Emirates",1500000,1000,800000,3000000,1500,50,2026,planned,high,yes,yes,92,Ras Al Khaimah,UAE,"Fitness center, private balconies, private cinema, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, golf simulator, infinity pool",Six refreshing swimming pools with Arabian Gulf views,Seven elite dining venues by award-winning chefs,Direct beach access with infinity pool,11,JW Marriott,Indulge in luxurious beachfront living with stunning mountain vistas and exceptional amenities.,"Offering breathtaking views of the Arabian Gulf, these residences feature private balconies and access to pristine beachfront amenities."
JW Marriott Residences,https://jwmr-clearwaterbeach.com/,"200 Mandalay Ave, Clearwater",1675000,1000,950000,2400,1675,37,2023,completed,high,yes,yes,95,Clearwater,United States,"Private balconies, fitness center, private cabanas, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, beach access, kids’ club, spa facilities, valet parking",Rooftop pool with Gulf of Mexico views,Private beach club access,Signature dining at JW Marriott Clearwater Beach Resort,10,JW Marriott,Elevate your lifestyle with unparalleled luxury and breathtaking Gulf Coast views.,"These luxurious residences boast stunning waterfront views, private beach access, and exclusive amenities, creating an unparalleled living experience."
JW Marriott Residences,https://www.jwmr-jeju.com.co/,"JW Marriott Residences Jeju, South Korea: 399 Hogeun-dong",2000000,1250,1500000,3000000,1600,75,2023,completed,high,yes,yes,95,Seogwipo-si,South Korea,"Private terraces, fitness center, spa facilities, private cabanas","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sauna, rooftop terrace, wellness lounge",Infinity pool with Jeju Island ocean views,Signature dining with local Jeju ingredients,Spa inspired by volcanic landscapes,10,JW Marriott,Discover breathtaking volcanic landscapes from your luxurious island sanctuary in Jeju.,"Offering breathtaking ocean views and direct access to pristine beaches, this residence features luxurious amenities and private gardens."
JW Marriott Residences,https://residencesrestonstation.com/,1901 Reston Metro Plaza,1250000,1000,750000,2000000,1250,94,2025,under construction,high,yes,yes,95,Reston,United States,"Fitness center, private terraces, residents’ lounge, rooftop deck","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, rooftop terrace, pet spa, valet parking",Rooftop pool with Reston skyline views,Direct access to Reston Station Metro,Resident-exclusive rooftop deck,10,JW Marriott,Indulge in luxurious living with stunning lake views and world-class amenities.,"Boasting breathtaking lakefront views and direct access to vibrant urban amenities, this residence offers unparalleled luxury and convenience."
"JW Marriott Residences, Grand Marina Saigon",https://masterisehomes.com/grand-marina-saigon/legacy,"2 Tôn Đức Thắng, Bến Nghé, Quận 1",2500000,1250,800000,5000000,2000,2100,2023,completed,high,yes,yes,95,Ho Chi Minh City,Vietnam,"Private balconies, fitness center, private cinema, smart-home technology","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, tranquility pool, boarding room, valet parking",Tranquility pool with Saigon River views,Nine-seat private cinema with refreshment bar,Kids’ club with contemporary learning zones,11,JW Marriott,"Rising along the Saigon River, this waterfront sanctuary redefines urban luxury living.","Overlooking the Saigon River, these residences boast private balconies, luxurious amenities, and unparalleled access to vibrant city life."
JW Marriott Residences,https://marriottresidences.com/luxury_brand/jw-marriott-residences/,"North Teseen Road, Fifth Settlement",1000000,800,500000,2000000,1250,200,2020,completed,high,yes,yes,94,New Cairo,Egypt,"Private terraces, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, rooftop terrace, wellness lounge, valet parking",Rooftop pool with New Cairo skyline views,Signature JW Marriott dining experience,Wellness lounge with spa facilities\,11,JW Marriott,Indulge in luxury living with breathtaking views of the lush green landscape.,"Offering breathtaking panoramic views of the Pyramids, this residence boasts unparalleled luxury with private amenities and expansive outdoor spaces."
"Kempinski Residences, Bayil Bay",https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-bayil-bay,"Seafront Boulevard, Bayil Bay",2500000,800,1500000,4000000,3125,37,2025,under construction,high,yes,yes,95,Baku,Azerbaijan,"Private terraces, fitness center, infinity pool, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, spa facilities, sauna, Turkish bath, valet parking",Panoramic infinity pool with Caspian Sea views,Fine-dining restaurant by Mauro Lipparini,In-house spa with Turkish bath and sauna,10,Kempinski,"Overlooking the sparkling Caspian Sea, this luxurious haven redefines waterfront elegance.","Offering breathtaking views of the Caspian Sea and unparalleled access to Baku's vibrant cultural scene, this residence boasts luxurious amenities and exclusive services."
Kempinski Hotel & Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-hotel-and-residences-khao-yai,"999 Moo 1, Pak Chong",1500000,1000,800000,3000000,1500,60,2026,planned,high,yes,yes,94,Pak Chong,Thailand,"Private pool villas, fitness center, eco-pool, private airstrip","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, spa facilities, kids’ club, banquet hall, comfort stations",18-hole My Ozone Golf Club,Eco-pool in natural pond ambiance,Pollen fine-dining with cigar lounge,12,Kempinski,Discover luxurious private villas with breathtaking panoramic views of Khao Yai's lush landscapes.,"Set amidst lush hills, this luxury residence boasts breathtaking panoramic views, private infinity pools, and personalized concierge services."
Kempinski Marina Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-marina-residences-dubai,Dubai Marina,2000000,1000,599000,8700000,2000,453,2028,under construction,high,yes,yes,95,Dubai,UAE,"Private terraces with vertical gardens, fitness center, private cinema, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, basketball court, padel courts, plunge pools",Temperature-controlled swimming pool,Vertical gardens on staggered terraces,Exclusive residents’ lounge with panoramic marina views,11,Kempinski,Indulge in breathtaking waterfront views and unparalleled luxury at Dubai's premier residence.,"Overlooking the stunning coastline, these residences boast expansive private terraces, unparalleled sea views, and access to a private beach."
"The Residences, at Kempinski Bahrain Harbour",https://www.kempinski.com/en/development/upcoming-openings/kempinski-bahrain-harbour-the-residences-at-kempinski-bahrain-harbour,"The Residences at Kempinski Bahrain Harbour, Manama, Bahrain.",2000000,1000,1000000,4000000,2000,186,2025,under construction,high,yes,yes,95,Manama,Bahrain,"Private balconies, fitness center, rooftop pool, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ play area, tennis courts, spa wellness facilities, valet parking",Rooftop swimming pool with Manama skyline views,60 retail boutiques along 2.5km marina promenade,Contemporary interiors with Arabian Gulf accents,10,Kempinski,Elevated waterfront living with panoramic Arabian Gulf views and unmatched luxury design.,"Offering breathtaking waterfront views and luxurious amenities, this residence features private access to a stunning marina and exclusive rooftop terraces."
Kempinski Grace Bay,https://www.kempinski.com/en/development/upcoming-openings/kempinski-grace-bay-turks-caicos,"Grace Bay Beach, Providenciales, Turks and Caicos Islands, British Overseas Territories.",3000000,1500,1500000,6000000,2000,76,2026,planned,high,yes,yes,95,Grace Bay Beach,Turks and Caicos Islands,"Beachfront villas, fitness center, beach club, private cabanas","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, beach access, tennis courts, indoor golf simulator",Two resort-style pools on Grace Bay Beach,431 feet of private white sand beachfront,Indoor golf simulator near Royal Turks & Caicos Golf Club,12,Kempinski,"Discover unparalleled luxury with stunning ocean views and private, pristine beaches.","Overlooking the stunning turquoise waters, this residence boasts private beachfront access and luxurious amenities, ensuring an unforgettable getaway."
Artlife Kempinski Residences,https://www.kempinski.com/en/development/upcoming-openings/artlife-kempinski-residences-yerevan,"107 Teryan Street,Yerevan, Armenia",1000000,1000,500000,2000000,1000,300,2025,under construction,high,yes,yes,95,Yerevan,Armenia,"Private balconies, fitness center, residents’ lounge, private terraces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, spa facilities, sauna, rooftop terrace, valet parking",Rooftop pool with Yerevan skyline views,Art-inspired dining venues,Spa with sauna and wellness facilities,10,Kempinski,Indulge in luxurious living with breathtaking views of Armenia's majestic mountains.,"Offering breathtaking views of Mount Ararat, this luxurious residence features exclusive amenities and a vibrant cultural atmosphere in Yerevan."
Kempinski Residences,https://www.kempinski.com/en/development/upcoming-openings/kempinski-residences-nef-sapanca-turkiye,"Soğuksu, Kırkıncıpınar Şelale Cd., Sapanca",2000000,800,1000000,3500000,2500,228,2026,under construction,high,yes,yes,95,Sapanca,Turkey,"Private pools, fitness center with hammam, lakeside restaurant, community market square","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, hybrid-power boat, mini football courts, outdoor yoga areas",Lakeside restaurant with local produce,Private pools in 90 villas and 138 townhouses,Hybrid-power boat for lake excursions,11,Kempinski,"Amid serene forests and a shimmering lake, luxury meets untouched tranquility.","Offering breathtaking lake views and luxurious amenities, this residence features private gardens and direct access to serene nature trails."
"Maçka Residences, Istanbul Managed By Kempinski",https://www.kempinski.com/en/residences/private-residences/macka-residences-istanbul-managed-by-kempinski,"Maçka Residences, Istanbul Managed By Kempinski  
Vişnezade Mah. Hüsrev Gerede Cad. Şehit Mehmet Sok., Maçka, Beşiktaş",2500000,2500,1000000,5000000,1000,170,2012,completed,high,yes,yes,95,Istanbul,Turkey,"Private terraces, fitness center, residents’ lounge, wellness center","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, spa facilities, kids’ play area, valet parking",Indoor pool with urban views,Wellness center with sauna and spa,Prime Maçka location with Bosphorus proximity,10,Kempinski,"Elevate your lifestyle with breathtaking Bosphorus views from luxurious, sophisticated residences.","Offering breathtaking Bosphorus views and luxurious amenities, this residence combines urban sophistication with serene green surroundings in Istanbul."
