residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
"Marriott Residences, Grand Marina Saigon",https://masterisehomes.com/grand-marina-saigon/prime,"2 Tôn Đức Thắng, Bến Nghé, Quận 1",1500000,1590,571000,2400000,944,2100,2023,completed,high,yes,yes,95,Ho Chi Minh City,Vietnam,"Private cinema, fitness center, smart-home technology, tranquility pool","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, in-residence dining, pet care services, shuttle service",Tranquility pool with Saigon River views,Nine-seat private cinema with refreshment bar,Kids’ club with contemporary learning zones,10,Marriott,"Indulge in breathtaking river views and luxurious, spacious suites in vibrant Saigon.","Overlooking the Saigon River, this residence boasts spacious suites with private balconies and unparalleled access to vibrant cultural hotspots."
"Marriott Residences, Heliopolis",https://mresidencescairo.com/#,"El Thawra Street, Almazah, Heliopolis",350000,615,162000,1398000,569,900,2004,under construction,high,yes,yes,95,Cairo,Egypt,"Private balconies, fitness center, private dining spaces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ play area, in-residence dining, rooftop terrace, sauna",Rooftop pool with Heliopolis skyline views,In-residence dining with curated menus,Wellness spa with sauna facilities,10,Marriott,Embrace sophisticated living with panoramic city views and unrivaled modern elegance.,"Offering stunning panoramic views of the iconic Cairo skyline, this residence features luxurious amenities and a prime location near cultural landmarks."
"Marriott Residences, Ambergris Caye Resort",https://ecidevelopment.com/community/belize-marriott-residences/,"Beachfront, San Pedro, Ambergris Caye",600000,600,319000,899900,1000,70,2025,under construction,high,yes,yes,95,San Pedro,Belize,"Private balconies, fitness center, beach club, private marina","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, dive center",Oceanfront pool with Caribbean Sea views,Signature dining with local Belizean flavors,Private marina for water activities,11,Marriott,Discover oceanfront luxury with breathtaking views and exclusive overwater bungalows.,"Overlooking the Caribbean Sea, this resort boasts private beachfront access, stunning sunset views, and luxurious amenities for ultimate relaxation."
"Marriott Residences, Salgados Resort",https://www.marriott.com/en-us/hotels/faopv-marriott-residences-salgados-resort-algarve/overview/,"Marriott Residences, Salgados Resort  
Herdade dos Salgados, Guia",750000,625,500000,1200000,1200,212,2011,completed,high,yes,yes,95,Albufeira,Portugal,"Private balconies, fitness center, palm tree garden, kids’ splash zone","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, beach access, sauna, spa facilities",Ten outdoor pools with palm tree surroundings,Three in-house restaurants with diverse menus,Access to Salgados 18-hole golf course,12,Marriott,Bask in luxurious seaside elegance with stunning ocean views and lush landscapes.,"Overlooking stunning coastal landscapes, this resort boasts luxurious accommodations with direct beach access and a world-class golf course nearby."
"Marriott Residences, Sheikh Zayed Road",https://www.marriott.com/en-us/hotels/dxbsz-residence-inn-sheikh-zayed-road-dubai/overview/,"Sheikh Zayed Road, Trade Centre 2",,,,,700,430,2005,completed,high,no,yes,95,Dubai,UAE,"Private kitchen, fitness center, residents’ lounge, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, in-residence dining, rooftop terrace, convenience store",Rooftop pool with Dubai skyline views,The Panorama buffet with international cuisine,Saray Spa with wellness treatments,10,Marriott,"Soaring above Dubai's skyline, this luxury haven offers panoramic city vistas.","Offering breathtaking skyline views and spacious suites with fully equipped kitchens, this residence redefines urban luxury living in Dubai."
"Marriott Residences, Queens Waterfront",https://www.marriottresidencespenang.com/,"Gurney Drive, George Town",1000000,1250,750000,2500000,800,302,2024,completed,high,yes,yes,95,Penang,Malaysia,"Private balconies, fitness center, private dining spaces, rooftop infinity pool","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ play area, sauna, residents’ lounge, rooftop terrace",Rooftop infinity pool with Penang Strait views,Signature dining with local Malaysian flavors,Wellness spa with sauna facilities,10,Marriott,Enjoy breathtaking sunsets from your private balcony overlooking Penang's serene coastline.,"Overlooking the stunning Penang waterfront, this residence boasts luxurious amenities, expansive terraces, and direct access to vibrant cultural attractions."
Vlora Marriott Residences,https://vloramarriottresidences.com/,"Porti Detar, Skele, Vlora",500000,500,300000,1200000,1000,161,2026,under construction,high,yes,yes,95,Vlora,Albania,"Private balconies, fitness center, beachfront lounge, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, kids’ club, sauna, water sports",Oceanfront pool with Adriatic Sea views,Beachfront dining with Albanian cuisine,Wellness spa with sauna and water sports,11,Marriott,Breathtaking sea views and luxurious living redefine coastal elegance in Vlora.,"Offering breathtaking panoramic views of the Adriatic Sea, this residence features luxurious amenities and direct beach access for an unparalleled coastal experience."
Marriott Residences,https://www.marriottresidencespenang.com/,"Gurney Drive, George Town",1000000,1250,750000,2500000,800,302,2024,completed,high,yes,yes,95,Penang,Malaysia,"Private balconies, fitness center, private dining spaces, rooftop infinity pool","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ play area, sauna, residents’ lounge, rooftop terrace",Rooftop infinity pool with Penang Strait views,Signature dining with local Malaysian flavors,Wellness spa with sauna facilities,10,Marriott,Luxury meets heritage in spacious residences overlooking George Town's vibrant skyline.,"Offering breathtaking views of the vibrant cityscape and the sea, this residence features spacious, elegantly designed suites with exclusive access to a rooftop infinity pool."
Marriott Residences,https://www.mr-stkitts.com/,"Marriott's St. Kitts Beach Club, 858 Frigate Bay Road, Frigate Bay, St. Kitts, Saint Kitts and Nevis.",,,,,1800,88,2000,completed,high,no,yes,95,St. Kitts,Saint Kitts and Nevis,"Private balconies, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café, Golf","24-hour concierge, kids’ club, beach access, casino, tennis courts",Oceanfront pool with Atlantic views,Emerald Mist Spa with wellness treatments,Access to 18-hole Royal St. Kitts Golf Course,11,Marriott,Discover luxury living with breathtaking ocean views and world-class amenities.,"This stunning residence boasts breathtaking ocean views, private infinity pools, and direct access to pristine beaches, ensuring unparalleled luxury."
"Marriott Residences, Jumeirah Lake Towers",https://mrjlt.com/,"Cluster G, Jumeirah Lake Towers",1000000,1250,500000,2500000,800,535,2026,under construction,high,yes,yes,95,Dubai,UAE,"Private balconies, fitness center, open-air gym, private cinema","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, infinity pool, paddle tennis court, kids’ play area, sauna",Infinity pool with Jumeirah Lake views,Open-air gym with panoramic city views,Paddle tennis court for residents,10,Marriott,Discover luxurious living with stunning lake views and unparalleled modern amenities.,"Boasting stunning panoramic views of the iconic Dubai skyline, this residence features luxurious amenities and exclusive access to serene lakeside promenades."
