residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Regent Residences,http://regentresidencesphuquoc.com/en/,"Phu Quoc Marina Integrated Complex, Bai Truong, Duong To",2500000,1250,1500000,4000000,2000,76,2022,completed,high,yes,yes,94,Phu Quoc,Vietnam,"Private plunge pools, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, in-residence dining",Oceanfront pool with Sunset Beach views,Oku restaurant with Japanese cuisine,Regent Spa with holistic wellness treatments,11,Regent,Discover unparalleled luxury with breathtaking ocean views and private infinity pools.,"The Regent Residences in Phu Quoc boast breathtaking ocean views, private beach access, and luxurious amenities tailored for ultimate relaxation."
The Ritz-Carlton Residences,https://www.rcrrivieramaya.com/,"Riviera Maya, Mexico  
Carretera Federal 307, Km 45,  
77710 Playa del Carmen,  
Quintana Roo, Mexico",3500000,1400,1824000,7000000,2500,127,2026,under construction,high,yes,yes,93,Quintana Roo,Mexico,"Private terraces, fitness center, beach club, wellness spa","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, in-residence dining",Beachfront pool with Caribbean Sea views,Rito restaurant with Mexican cuisine,Catamaran Club with exclusive beach access,11,Ritz-Carlton,Indulge in luxurious beachfront living surrounded by lush tropical landscapes and azure waters.,"Offering breathtaking ocean views and private access to pristine beaches, this residence features luxurious amenities and unparalleled tranquility."
"The Ritz-Carlton Residences, Palm Hills",,"Palmet, 6th of October City, West Cairo",2000000,800,1000000,4000000,2500,150,2025,under construction,high,yes,yes,92,Cairo,Egypt,"Private terraces, fitness center, wellness center, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, kids’ play area",Lagoon-style pool with garden views,Curated dining with international cuisine,Wellness center with sauna facilities,11,Ritz-Carlton,Immerse yourself in opulent serenity with breathtaking golf course views and timeless elegance.,"Offering breathtaking views of the Pyramids, this luxurious residence boasts unparalleled amenities, including a private beach club and lush gardens."
The Ritz-Carlton Residences,https://rcrnewportbeach.com/,"Newport Beach, 2121 S Pacific Coast Hwy, Newport Beach, CA 92660, United States.",8000000,2667,5000000,15000000,3000,138,2027,under construction,high,yes,yes,93,Newport Beach,United States,"Private balconies, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, rooftop terrace",Rooftop pool with Pacific Ocean views,Signature dining with coastal cuisine,Wellness spa with sauna facilities,10,Ritz-Carlton,Indulge in luxurious coastal living with breathtaking ocean views and unparalleled amenities.,"Offering stunning panoramic views of the Pacific Ocean, these residences feature private balconies and unparalleled access to luxurious amenities."
The Ritz-Carlton Residences,https://www.theresidencesatthewoodlands.com/,"2301 N Millbend Dr, The Woodlands, United States",4500000,1500,2500000,7500000,3000,111,2025,under construction,high,yes,yes,93,The Woodlands,United States,"Private terraces, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, pet grooming",Lakefront pool with scenic views,Signature dining with curated menus,Wellness spa with sauna facilities,11,Ritz-Carlton,Immerse yourself in unparalleled luxury with serene forest views and bespoke elegance.,"Offering stunning waterfront views and luxurious amenities, this residence boasts exclusive access to a private yacht club and expansive outdoor spaces."
The Ritz-Carlton Residences,https://www.rcbeachhouses.com/,15701 Collins Avenue,10000000,3333,4250000,20000000,3000,30,2027,under construction,high,yes,yes,94,Miami,United States,"Private balconies, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, sauna, in-residence dining",Oceanfront pool with Atlantic views,Signature dining with coastal cuisine,Wellness spa with sauna facilities,10,Ritz-Carlton,Elevate your lifestyle with breathtaking ocean views and unparalleled luxury amenities.,"Offering stunning waterfront views, these residences feature private balconies, luxurious amenities, and direct access to vibrant cultural attractions."
The Ritz-Carlton Residences,https://rc-residences-al-wadi-desert.sothebysrealty.ae/utm_source=google&utm_medium=cpc&utm_campaign=rc-official,"Al Wadi Desert, Ras Al Khaimah, United Arab Emirates.",5500000,1100,4200000,7000000,5000,35,2027,under construction,high,yes,yes,95,Ras Al Khaimah,UAE,"Private plunge pools, fitness center, wellness spa, private terraces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, sauna, in-residence dining, falconry experience",Private plunge pool with desert dune views,Farmhouse restaurant with farm-to-table cuisine,Rainforest Spa with hydrothermal therapy,11,Ritz-Carlton,Discover luxurious desert living with private villas surrounded by stunning natural beauty.,"Surrounded by breathtaking desert landscapes, these residences offer private pools, stunning mountain views, and unparalleled access to nature."
The Ritz-Carlton Residences,https://www.diriyahcompany.sa/en/diriyah-living/ritz-carlton,"Palmet, Diriyah",6000000,1500,3000000,10000000,4000,100,2026,under construction,high,yes,yes,92,Diriyah,Saudi Arabia,"Private terraces, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, kids’ play area",Outdoor pool with Diriyah heritage views,Curated dining with Middle Eastern cuisine,Wellness spa with sauna facilities,11,Ritz-Carlton,Immerse yourself in timeless luxury amid Diriyah’s UNESCO-protected cultural treasures.,"Overlooking the historic At-Turaif district, these residences boast unparalleled luxury with private terraces and bespoke concierge services."
The Ritz-Carlton Residences,,"Al Khobar, Saudi Arabia.",3500000,1167,2000000,6000000,3000,,,,high,yes,yes,85,Al Khobar,Saudi Arabia,"Private balconies, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, sauna, in-residence dining, residents’ lounge",Oceanfront pool with Arabian Gulf views,Fine dining with curated coastal cuisine,Wellness spa with sauna facilities,11,Ritz-Carlton,Embrace unparalleled luxury with breathtaking Arabian Gulf views from your private oasis.,"Boasting panoramic views of the Arabian Gulf, these residences feature lavish amenities and unparalleled access to vibrant waterfront attractions."
The Ritz-Carlton Residences,https://rcresidencesbaku.com/en/?utm_source=website&utm_medium=image&utm_campaign=listing&utm_id=marriott%20channels,"1, Azadlig Avenue, Baku, AZ1000, Azerbaijan.",4500000,1800,2500000,7500000,2500,173,2023,completed,high,yes,yes,94,Baku,Azerbaijan,"Private terraces, fitness center, wellness spa, private dining spaces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, sauna, residents’ lounge, in-residence dining, rooftop terrace",Rooftop pool with Caspian Sea views,Signature dining with curated menus,Wellness spa with sauna facilities,10,Ritz-Carlton,"Indulge in breathtaking views of the Caspian Sea from luxurious, modern residences.","Offering breathtaking views of the Caspian Sea and the Flame Towers, this residence features unparalleled luxury amenities and exquisite design."
