residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Khun,https://www.yooresidences.com/property/khun-by-yoo/,"25 Sukhumvit 26, Khlong Toei, Bangkok 10110, Thailand",800000,600,500000,1200000,1333,148,2020,completed,high,yes,yes,95,Bangkok,Thailand,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,Spa,Rooftop Amenities,Concierge Services,,Yoo,Immerse yourself in luxury with stunning skyline views from every exquisite suite.,"Offering breathtaking skyline views and private access to lush green spaces, this residence uniquely combines urban luxury with nature's tranquility."
Keppel Bay,https://www.yooresidences.com/property/keppel-bay/,"Zhongshan, China",500000,400,300000,800000,1250,200,2017,completed,medium,yes,yes,90,Zhongshan,China,"Private Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Concierge Services, Parking Space/Garage, Marina/Yacht Club, Housekeeping Services, Shared Lounges, Green Spaces/Parks",,Marina/Yacht Club,Concierge Services,On-site Restaurant/Café,,Yoo,Where serene waterfront living meets cutting-edge design amid lush green landscapes.,"Keppel Bay boasts breathtaking waterfront views, private access to lush green parks, and exceptional amenities, redefining luxury living in Zhongshan."
Sapphire,https://www.yooresidences.com/property/sapphire-residences-colombo-1/,"24, Galle Road, Colombo 03, Sri Lanka",1200000,600,800000,2000000,2000,132,2024,completed,high,yes,yes,96,Colombo,Sri Lanka,"Infinity Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Business Center",,Spa,Rooftop Amenities,Business Center,,Yoo,Bask in luxury with panoramic ocean views and exquisite contemporary design.,"Overlooking the Indian Ocean, this stunning residence boasts expansive terraces, private infinity pools, and unparalleled sunset views."
Lodha Estrella,https://www.yooresidences.com/property/lodha-estrella/,"Ghatkopar - Mulund Link Road, Opposite Dindayal Nagar, Near Maheshwari Udyan, Mulund West, Mumbai, Maharashtra 400080, India.",250000,200,150000,350000,1250,300,2016,completed,medium,yes,yes,92,Mumbai,India,"Infinity Pool, Fitness Room / Gym, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks, Kids' Play Area",,Spa,Rooftop Amenities,Concierge Services,,Yoo,Elevate your lifestyle with designer-crafted residences boasting private sundecks and skyline views.,"Lodha Estrella boasts breathtaking panoramic views of the Arabian Sea and features private gardens, enhancing luxurious urban living."
Lodha Evoq,https://www.yooresidences.com/property/lodha-evoq/,"Lodha Place, 1, Lodha Park, D.N. Nagar, Andheri West, Mumbai, Maharashtra 400053, India",600000,350,400000,800000,1714,120,2024,completed,high,yes,yes,94,Mumbai,India,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area, Home Theater","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Business Center, Green Spaces/Parks, Swimming Pool","Squash Court, Indoor Games",Green Spaces/Parks,Rooftop Amenities,Business Center,,Yoo,Soar to new heights in luxurious duplexes with panoramic city skyline views.,"Lodha Evoq offers breathtaking panoramic views of the Arabian Sea, along with luxurious amenities like private terraces and a rooftop infinity pool."
Lodha Fiorenza,https://www.yooresidences.com/property/lodha-fiorenza/,"Off Western Express Highway, Goregaon East, Mumbai, Maharashtra 400063, India",450000,350,300000,1500000,1286,209,2018,completed,high,yes,yes,97,Mumbai,India,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Private Pool","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Rooftop Amenities, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks, Kids' Play Area, Swimming Pool",,Green Spaces/Parks,Spa,Rooftop Amenities,,Yoo,Discover luxurious living amidst lush greenery and breathtaking skyline views in Mumbai.,"Offering breathtaking panoramic views of the Aarey Forest, this residence features expansive terraces and luxurious amenities that redefine urban living."
"Masa Residents, Al Marjan Island",https://www.yooresidences.com/property/masa-residents/,"Al Marjan Island, Ras Al Khaimah, United Arab Emirates",1200000,600,800000,2000000,2000,396,2026,under construction,high,yes,yes,94,Ras Al Khaimah,UAE,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area, Beachfront Villas","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,Private Beach Access,On-site Restaurant/Café,Spa,,Yoo,Embrace unparalleled waterfront living with panoramic sea views and exclusive serenity.,"Masa Residents offers breathtaking panoramic views of the Arabian Gulf, complemented by exclusive amenities and direct beach access."
Loft,https://www.yooresidences.com/property/loft-niseko/,"Higashiyama, Niseko, Hokkaido 048-1522, Japan",2500000,1000,2000000,3500000,2500,4,2014,completed,high,yes,yes,96,Niseko,Japan,"Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office","Concierge Services, Parking Space/Garage, Housekeeping Services, Shared Lounges",,Housekeeping Services,Concierge Services,Shared Lounges,,Yoo,Elevate your senses with panoramic views of majestic mountains and serene landscapes.,"The Loft in Niesko boasts breathtaking panoramic mountain views, a private outdoor hot spring, and direct access to pristine hiking trails."
Acqua Iguazu,https://www.yooresidences.com/property/acqua-iguazu/,"3 Sgd. M. S. Dela Rosa St., Mandaluyong City, Metro Manila, Philippines",100000,250,80000,150000,400,150,2016,completed,high,yes,yes,95,Manila,Philippines,"Infinity Pool, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Home Office, Spa / Wellness Area","On-site Restaurant/Café, Security Staff, Gated Community, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Shared Lounges, Green Spaces/Parks",,Spa,Concierge Services,On-site Restaurant/Café,,Yoo,Immerse yourself in a tropical oasis with stunning lagoon-style pools and lush gardens.,"Offering breathtaking views of Manila Bay and exclusive access to a private beach club, this residence redefines luxury living."
The Beach,https://www.yooresidences.com/property/the-beach/,"Koh Samui, Thailand",1500000,750,1000000,2500000,2000,50,2018,completed,high,yes,yes,93,Koh Samui,Thailand,"Private Pool, Infinity Pool, Spa / Wellness Area, Panoramic Views, Private Balcony / Terrace, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Beachfront Villas","On-site Restaurant/Café, Security Staff, Concierge Services, Private Beach Access, Housekeeping Services, Spa, Green Spaces/Parks",,Private Beach Access,Spa,Green Spaces/Parks,,Yoo,Immerse in breathtaking oceanfront serenity with seamless indoor-outdoor luxury design.,"This stunning residence offers breathtaking panoramic ocean views, private beach access, and a serene atmosphere that fosters ultimate relaxation."
